经销商报价,纯电续航里程(km),快充时间,慢充时间,快充电量(%),最高车速(km/h),官方百公里加速时间(s),百公里耗电量(kWh/100km),长(mm),宽(mm),高(mm),轴距(mm),前轮距(mm),后轮距(mm),车门数(个),座位数(个),整备质量(kg),电动机总功率(kW),电动机总马力(Ps),电动机总扭矩(N·m),磷酸铁锂,三元锂,其它,电池容量(kWh)
18.98,600,0.57,9.5,80,150,7.028394004,13.8,4410,1870,1645,2750,1600,1600,5,5,1760,135,184,225,0,1,0,76.8
13.98,410,0.4,9.584863481,80,130,7.028394004,12.9,4768,1880,1530,2750,1600,1602,4,5,1610,100,136,225,1,0,0,50.6
13.98,460,0.78,10,80,130,7.028394004,12.9,4805,1880,1545,2750,1600,1602,4,5,1705,100,136,225,1,0,0,59.4
13.98,460,0.78,10,80,130,7.028394004,12.9,4805,1880,1545,2750,1600,1602,4,5,1705,100,136,225,1,0,0,59.4
14.68,460,0.78,10,80,130,7.028394004,12.9,4768,1880,1545,2750,1600,1602,4,5,1685,100,136,225,1,0,0,60
14.68,460,0.78,10,80,130,7.028394004,12.9,4768,1880,1545,2750,1600,1602,4,5,1685,100,136,225,1,0,0,60
17.38,460,0.78,10,80,130,7.028394004,12.9,4768,1880,1545,2750,1600,1602,4,5,1685,100,136,225,1,0,0,60
17.98,460,0.78,10,80,130,7.028394004,12.9,4768,1880,1545,2750,1600,1602,4,5,1685,100,136,225,1,0,0,60
16.38,510,0.7,10,80,160,7.6,12.9,4810,1880,1515,2750,1600,1602,4,5,1660,150,204,350,0,1,0,58.8
17.58,510,0.7,10,80,160,7.6,12.9,4810,1880,1515,2750,1600,1602,4,5,1680,150,204,350,0,1,0,58.8
18.49,510,0.7,10,80,160,7.6,12.9,4810,1880,1515,2750,1600,1602,4,5,1660,150,204,350,0,1,0,58.8
17.58,602,0.75,10,80,160,6.8,13.1,4810,1880,1515,2750,1600,1602,4,5,1750,165,224,350,0,1,0,69.9
