数据编号,型号,经销商报价,纯电续航里程(km),充电时间(小时),快充时间,慢充时间,快充电量(%),最高车速(km/h),官方百公里加速时间(s),百公里耗电量(kWh/100km),长(mm),宽(mm),高(mm),轴距(mm),前轮距(mm),后轮距(mm),车门数(个),座位数(个),整备质量(kg),电动机总功率(kW),电动机总马力(Ps),电动机总扭矩(N·m),电池类型,磷酸铁锂,三元锂,其它,电池容量(kWh)
41,AION Y 2022款 70 行政版 磷酸铁锂,17.98,500,快充0.57小时 慢充9.5小时,0.57,9.5,80,150,,13.8,4410,1870,1645,2750,1600,1600,5,5,1725,135,184,225,磷酸铁锂电池,1,0,0,63.98
42,AION Y 2022款 80 超长续航版 三元锂,16.26,600,快充0.57小时 慢充9.5小时,0.57,9.5,80,150,,13.8,4410,1870,1645,2750,1600,1600,5,5,1760,135,184,225,三元锂电池,0,1,0,76.8
43,AION Y 2022款 80 智驾版 三元锂,17.56,600,快充0.57小时 慢充9.5小时,0.57,9.5,80,150,,13.8,4410,1870,1645,2750,1600,1600,5,5,1760,135,184,225,三元锂电池,0,1,0,76.8
44,AION Y 2022款 80 行政版 三元锂,18.98,600,快充0.57小时 慢充9.5小时,0.57,9.5,80,150,,13.8,4410,1870,1645,2750,1600,1600,5,5,1760,135,184,225,三元锂电池,0,1,0,76.8
45,AION S 2022款 改款 炫 530,13.98,410,快充0.4小时 慢充待查小时,0.4,,80,130,,12.9,4768,1880,1530,2750,1600,1602,4,5,1610,100,136,225,磷酸铁锂电池,1,0,0,50.6
46,AION S 2022款 炫 580,13.98,460,快充0.78小时 慢充10小时,0.78,10,80,130,,12.9,4805,1880,1545,2750,1600,1602,4,5,1705,100,136,225,磷酸铁锂电池,1,0,0,59.4
47,AION S 2022款 炫 580 Pio,13.98,460,快充0.78小时 慢充10小时,0.78,10,80,130,,12.9,4805,1880,1545,2750,1600,1602,4,5,1705,100,136,225,磷酸铁锂电池,1,0,0,59.4
48,AION S 2022款 魅 580,14.68,460,快充0.78小时 慢充10小时,0.78,10,80,130,,12.9,4768,1880,1545,2750,1600,1602,4,5,1685,100,136,225,磷酸铁锂电池,1,0,0,60
49,AION S 2022款 魅 580 Pio,14.68,460,快充0.78小时 慢充10小时,0.78,10,80,130,,12.9,4768,1880,1545,2750,1600,1602,4,5,1685,100,136,225,磷酸铁锂电池,1,0,0,60
50,AION S 2022款 魅 580 公务版,17.38,460,快充0.78小时 慢充10小时,0.78,10,80,130,,12.9,4768,1880,1545,2750,1600,1602,4,5,1685,100,136,225,磷酸铁锂电池,1,0,0,60
51,AION S 2022款 魅 580 行政版,17.98,460,快充0.78小时 慢充10小时,0.78,10,80,130,,12.9,4768,1880,1545,2750,1600,1602,4,5,1685,100,136,225,磷酸铁锂电池,1,0,0,60
52,AION S 2022款 Plus 70 智领版,16.38,510,快充0.7小时 慢充10小时,0.7,10,80,160,7.6,12.9,4810,1880,1515,2750,1600,1602,4,5,1660,150,204,350,三元锂电池,0,1,0,58.8
53,AION S 2022款 Plus 70 智驾版,17.58,510,快充0.7小时 慢充10小时,0.7,10,80,160,7.6,12.9,4810,1880,1515,2750,1600,1602,4,5,1680,150,204,350,三元锂电池,0,1,0,58.8
54,AION S 2022款 Plus 70 行政版,18.49,510,快充0.7小时 慢充10小时,0.7,10,80,160,7.6,12.9,4810,1880,1515,2750,1600,1602,4,5,1660,150,204,350,三元锂电池,0,1,0,58.8
55,AION S 2022款 Plus 80 科技版,17.58,602,快充0.75小时 慢充10小时,0.75,10,80,160,6.8,13.1,4810,1880,1515,2750,1600,1602,4,5,1750,165,224,350,三元锂电池,0,1,0,69.9
56,AION S 2022款 Plus 80 行政版,19.16,602,快充0.75小时 慢充10小时,0.75,10,80,160,6.8,13.1,4810,1880,1515,2750,1600,1602,4,5,1750,165,224,350,三元锂电池,0,1,0,69.9
57,AION S 2022款 Plus 80 智驾版,18.98,602,快充0.75小时 慢充10小时,0.75,10,80,160,6.8,13.1,4810,1880,1515,2750,1600,1602,4,5,1770,165,224,350,三元锂电池,0,1,0,69.9
58,AION S 2020款 炫 580,13.98,460,快充0.78小时 慢充10小时,0.78,10,80,130,,12.9,4768,1880,1530,2750,1600,1602,4,5,1610,100,136,225,三元锂电池,0,1,0,58.8
59,AION S 2020款 炫 580 Pio,13.98,460,快充0.78小时 慢充10小时,0.78,10,80,130,,12.9,4768,1880,1530,2750,1600,1602,4,5,1610,100,136,225,三元锂电池,0,1,0,58.8
60,AION S 2020款 炫 580 出行标准版,17.28,460,快充0.78小时 慢充10小时,0.78,10,80,130,,12.9,4768,1880,1530,2750,1600,1602,4,5,1610,100,136,225,三元锂电池,0,1,0,58.8
61,AION S 2020款 魅 580,14.68,460,快充0.78小时 慢充10小时,0.78,10,80,130,,12.9,4768,1880,1530,2750,1600,1602,4,5,1610,100,136,225,三元锂电池,0,1,0,58.8
62,AION S 2020款 魅 580 Pio,14.68,460,快充0.78小时 慢充10小时,0.78,10,80,130,,12.9,4768,1880,1530,2750,1600,1602,4,5,1610,100,136,225,三元锂电池,0,1,0,58.8
63,AION S 2020款 魅 580 出行标准版,17.98,460,快充0.78小时 慢充10小时,0.78,10,80,130,,12.9,4768,1880,1530,2750,1600,1602,4,5,1610,100,136,225,三元锂电池,0,1,0,58.8
64,欧拉闪电猫 2022款 555km 豪华版,18.98,555,快充0.5小时,0.5,,,170,,13.2,4871,1862,1500,2870,1583,1603,4,5,1930,150,204,340,磷酸铁锂电池,1,0,0,63.87
65,欧拉闪电猫 2022款 555km 尊贵版,20.38,555,快充0.5小时,0.5,,,170,,13.2,4871,1862,1500,2870,1583,1603,4,5,1930,150,204,340,磷酸铁锂电池,1,0,0,63.87
66,欧拉闪电猫 2022款 705km 长续航版,23.98,705,快充0.5小时,0.5,,,170,,13.4,4871,1862,1500,2870,1583,1603,4,5,1930,150,204,340,三元锂电池,0,1,0,83.49
67,欧拉闪电猫 2022款 600km 四驱高性能版,26.98,600,快充0.5小时,0.5,,,180,4.3,15.5,4871,1862,1500,2870,1577,1597,4,5,2115,300,408,680,三元锂电池,0,1,0,83.49
68,小鹏P7 2022款 480G,23.99,480,快充0.45小时 慢充5小时,0.45,5,80,170,6.7,13.8,4880,1896,1450,2998,1615,1621,4,5,1920,196,267,390,磷酸铁锂电池,1,0,0,60.2
69,小鹏P7 2022款 480G+,23.99,480,快充0.45小时 慢充5小时,0.45,5,80,170,6.7,13.8,4880,1896,1450,2998,1615,1621,4,5,1920,196,267,390,磷酸铁锂电池,1,0,0,60.2
70,小鹏P7 2022款 480N+,25.29,480,快充0.45小时 慢充5小时,0.45,5,80,170,6.7,13.8,4880,1896,1450,2998,1615,1621,4,5,1920,196,267,390,磷酸铁锂电池,1,0,0,60.2
71,小鹏P7 2022款 586G,25.99,586,快充0.42小时 慢充5.7小时,0.42,5.7,80,170,6.7,17,4880,1896,1450,2998,1615,1621,4,5,1890,196,267,390,三元锂电池,0,1,0,70.8
72,小鹏P7 2022款 480E,25.99,480,快充0.45小时 慢充5小时,0.45,5,80,170,6.7,13.8,4880,1896,1450,2998,1615,1621,4,5,1920,196,267,390,磷酸铁锂电池,1,0,0,60.2
73,小鹏P7 2022款 480E+,26.29,480,快充0.45小时 慢充5小时,0.45,5,80,170,6.7,13.8,4880,1896,1450,2998,1615,1621,4,5,1920,196,267,390,磷酸铁锂电池,1,0,0,60.2
74,小鹏P7 2022款 670G,27.29,670,快充0.55小时 慢充6.5小时,0.55,6.5,80,170,6.7,13.5,4880,1896,1450,2998,1615,1621,4,5,1935,196,267,390,三元锂电池,0,1,0,83.1
75,小鹏P7 2022款 586E,28.09,586,快充0.42小时 慢充5.7小时,0.42,5.7,80,170,6.7,17,4880,1896,1450,2998,1615,1621,4,5,1890,196,267,390,三元锂电池,0,1,0,70.8
76,小鹏P7 2022款 625E,28.59,625,快充0.55小时 慢充6.5小时,0.55,6.5,80,170,6.7,13.3,4880,1896,1450,2998,1615,1621,4,5,1940,196,267,390,三元锂电池,0,1,0,77.9
77,小鹏P7 2022款 670N+,28.59,670,快充0.55小时 慢充6.5小时,0.55,6.5,80,170,6.7,13.5,4880,1896,1450,2998,1615,1621,4,5,1935,196,267,390,三元锂电池,0,1,0,83.1
78,小鹏P7 2022款 670E+,31.79,670,快充0.55小时 慢充6.5小时,0.55,6.5,80,170,6.7,13.5,4880,1896,1450,2998,1615,1621,4,5,1935,196,267,390,三元锂电池,0,1,0,83.1
79,小鹏P7 2022款 670E+ Black Label Edition,32.99,670,快充0.55小时 慢充6.5小时,0.55,6.5,80,170,6.7,13.5,4880,1896,1450,2998,1615,1621,4,5,1935,196,267,390,三元锂电池,0,1,0,83.1
80,小鹏P7 2022款 562E性能版,34.99,562,快充0.6小时 慢充6.5小时,0.6,6.5,80,170,4.3,16,4880,1896,1450,2998,1615,1621,4,5,2060,316,430,655,三元锂电池,0,1,0,80.9
81,小鹏P7 2022款 562E Black Label Edition,34.99,562,快充0.6小时 慢充6.5小时,0.6,6.5,80,170,4.3,16,4880,1896,1450,2998,1615,1621,4,5,2060,316,430,655,三元锂电池,0,1,0,80.9
82,小鹏P7 2022款 670E+鹏翼版,38.79,670,快充0.55小时 慢充6.5小时,0.55,6.5,80,170,6.7,13.5,4880,1896,1450,2998,1615,1621,4,5,1935,196,267,390,三元锂电池,0,1,0,83.1
83,小鹏P7 2021款 480N,24.99,480,快充0.45小时 慢充5小时,0.45,5,80,170,6.7,13.8,4880,1896,1450,2998,1615,1621,4,5,1920,196,267,390,磷酸铁锂电池,1,0,0,60.2
84,小鹏P7 2021款 670E鹏翼版,38.69,670,快充0.55小时 慢充6.5小时,0.55,6.5,80,170,6.7,13.5,4880,1896,1450,2998,1615,1621,4,5,1935,196,267,390,三元锂电池,0,1,0,83.1
85,小鹏P7 2021款 562E鹏翼性能版,42.99,562,快充0.6小时 慢充6.5小时,0.6,6.5,80,170,4.3,16,4880,1896,1450,2998,1615,1621,4,5,2060,316,430,655,三元锂电池,0,1,0,80.9
86,小鹏P7 2020款 586N,27.09,586,快充0.42小时 慢充5.7小时,0.42,5.7,80,170,6.7,17,4880,1896,1450,2998,1615,1621,4,5,1890,196,267,390,三元锂电池,0,1,0,70.8
87,小鹏P7 2020款 706G,27.09,706,快充0.55小时 慢充6.5小时,0.55,6.5,80,170,6.7,12.5,4880,1896,1450,2998,1615,1621,4,5,1910,196,267,390,三元锂电池,0,1,0,80.9
88,小鹏P7 2020款 670N,28.29,670,快充0.55小时 慢充6.5小时,0.55,6.5,80,170,6.7,13.5,4880,1896,1450,2998,1615,1621,4,5,1935,196,267,390,三元锂电池,0,1,0,83.1
89,小鹏P7 2020款 670E,31.49,670,快充0.55小时 慢充6.5小时,0.55,6.5,80,170,6.7,13.5,4880,1896,1450,2998,1615,1621,4,5,1935,196,267,390,三元锂电池,0,1,0,83.1
90,问界M5 2022款 M5 EV 两驱标准版,28.86,620,快充0.5小时 慢充10.5小时,0.5,10.5,80,200,7.1,15.8,4785,1930,1620,2880,1655,1650,5,5,2235,200,272,360,磷酸铁锂电池,1,0,0,80
91,问界M5 2022款 M5 EV 四驱性能版,31.98,552,快充0.5小时 慢充10.5小时,0.5,10.5,80,210,4.5,17.1,4785,1930,1620,2880,1655,1650,5,5,2350,365,496,675,磷酸铁锂电池,1,0,0,80
92,ZEEKR 009 2023款 WE版,49.9,702,快充0.47小时,0.47,,,190,4.5,18.3,5209,2024,1848,3205,1701,1713,5,6,2830,400,544,686,三元锂电池,0,1,0,116
93,ZEEKR 009 2023款 ME版,58.8,822,,,,,190,4.5,,5209,2024,1848,3205,1701,1713,5,6,,400,544,686,三元锂电池,0,1,0,140
94,哪吒S 2022款 纯电 715后驱中版,24.58,715,快充0.58小时 慢充16小时,0.58,16,80,185,6.9,13.5,4980,1980,1450,2980,1696,1695,4,5,1990,170,231,310,三元锂电池,0,1,0,88
95,哪吒S 2022款 纯电 715后驱大版,26.98,715,快充0.58小时 慢充16小时,0.58,16,80,185,6.9,13.5,4980,1980,1450,2980,1696,1695,4,5,1990,170,231,310,三元锂电池,0,1,0,88
96,哪吒S 2022款 纯电 650四驱大版,27.98,650,快充0.58小时 慢充17小时,0.58,17,80,185,3.9,16,4980,1980,1450,2980,1696,1695,4,5,2130,340,462,620,三元锂电池,0,1,0,95
97,哪吒S 2022款 纯电 715后驱激光雷达版,31.98,715,快充0.58小时 慢充16小时,0.58,16,80,185,6.9,13.5,4980,1980,1450,2980,1696,1695,4,5,2000,170,231,310,三元锂电池,0,1,0,88
98,哪吒S 2022款 纯电 650四驱耀世版,33.88,650,快充0.58小时 慢充17小时,0.58,17,80,185,3.9,16,4980,1980,1450,2980,1696,1695,4,5,2130,340,462,620,三元锂电池,0,1,0,95
99,Model S 2021款 双电机全轮驱动,88.99,652,快充1小时 慢充10小时,1,10,,250,3.2,,4970,1964,1445,2960,1662,1700,5,5,2069,493,670,,三元锂电池,0,1,0,100
100,Model S 2021款 Plaid版 三电机全轮驱动,105.99,637,快充1小时 慢充10小时,1,10,,322,2.1,,4970,1964,1445,2960,1662,1700,5,5,2162,750,1020,,三元锂电池,0,1,0,100
101,欧拉好猫 2022款 莫兰迪版 400km标准续航 两周年轻享型 磷酸铁锂,12.59,401,快充0.5小时 慢充8小时,0.5,8,80,150,,13,4235,1825,1596,2650,1557,1577,5,5,1510,105,143,210,磷酸铁锂电池,1,0,0,47.8
102,欧拉好猫 2022款 莫兰迪版 400km标准续航 豪华型 磷酸铁锂,13.7,401,快充0.5小时 慢充8小时,0.5,8,80,150,,13,4235,1825,1596,2650,1557,1577,5,5,1510,105,143,210,磷酸铁锂电池,1,0,0,47.8
103,欧拉好猫 2022款 莫兰迪版 400km标准续航 豪华型 三元锂,13.7,401,快充0.5小时 慢充8小时,0.5,8,80,150,,13.1,4235,1825,1596,2650,1557,1577,5,5,1438,105,143,210,三元锂电池,0,1,0,45.99
